,Match_URL,Map_Name,Map_ID,Duration,Team_1,URL_1,Score_1,Attacking_Score_1,Defending_Score_1,Team_2,URL_2,Score_2,Attacking_Score_2,Defending_Score_2
6188,/98849/onic-g-vs-alter-ego-champions-tour-indonesia-stage-2-challengers-r2,Breeze,82935,53:45,ONIC G,/team/2032/onic-g,13,6,7,Alter Ego,/team/1110/alter-ego,10,4,6
6189,/98849/onic-g-vs-alter-ego-champions-tour-indonesia-stage-2-challengers-r2,Bind,82936,41:02,ONIC G,/team/2032/onic-g,10,5,5,Alter Ego,/team/1110/alter-ego,13,6,7
6190,/99613/alpha-esports-pro-vs-naos-esports-champions-tour-philippines-stage-2-challengers-week-1,Breeze,83842,39:40,Alpha Esports Pro,/team/4251/alpha-esports-pro,13,4,9,NAOS,/team/7031/naos,5,3,2
6191,/99613/alpha-esports-pro-vs-naos-esports-champions-tour-philippines-stage-2-challengers-week-1,Haven,83843,44:25,Alpha Esports Pro,/team/4251/alpha-esports-pro,13,6,7,NAOS,/team/7031/naos,8,2,6
6192,/99769/made-in-thailand-vs-xerxia-esports-champions-tour-thailand-stage-2-challengers-week-1,Haven,84066,44:18,Made in Thailand,/team/4210/made-in-thailand,6,3,3,XERXIA Esports,/team/7397/xerxia-esports,13,4,9
6193,/99769/made-in-thailand-vs-xerxia-esports-champions-tour-thailand-stage-2-challengers-week-1,Breeze,84067,49:35,Made in Thailand,/team/4210/made-in-thailand,10,4,6,XERXIA Esports,/team/7397/xerxia-esports,13,6,7
6194,/89215/galaxy-esports-vs-laze-champions-tour-malaysia-singapore-stage-2-challengers-group-stage-d3,Fracture,77852,46:15,Galaxy Esports,/team/7040/galaxy-esports,13,10,3,LaZe,/team/3351/laze,9,9,0
6195,/89215/galaxy-esports-vs-laze-champions-tour-malaysia-singapore-stage-2-challengers-group-stage-d3,Icebox,77853,40:06,Galaxy Esports,/team/7040/galaxy-esports,7,2,5,LaZe,/team/3351/laze,13,3,10
6196,/89215/galaxy-esports-vs-laze-champions-tour-malaysia-singapore-stage-2-challengers-group-stage-d3,Ascent,77854,41:53,Galaxy Esports,/team/7040/galaxy-esports,9,6,3,LaZe,/team/3351/laze,13,7,6
6197,/97425/northeption-vs-claudio-exe-champions-tour-japan-stage-2-challengers-week-1-gf-b,Bind,82108,39:38,NORTHEPTION,/team/2988/northeption,13,4,9,CERULEAN.EXE,/team/8955/cerulean-exe,4,3,1
6198,/97425/northeption-vs-claudio-exe-champions-tour-japan-stage-2-challengers-week-1-gf-b,Breeze,82109,28:40,NORTHEPTION,/team/2988/northeption,13,10,3,CERULEAN.EXE,/team/8955/cerulean-exe,2,0,2
6199,/98848/persija-esports-vs-boom-esports-champions-tour-indonesia-stage-2-challengers-r2,Ascent,82931,53:14,Persija Esports,/team/8309/persija-esports,9,5,4,BOOM Esports,/team/466/boom-esports,13,8,5
6200,/98848/persija-esports-vs-boom-esports-champions-tour-indonesia-stage-2-challengers-r2,Fracture,82932,44:56,Persija Esports,/team/8309/persija-esports,6,4,2,BOOM Esports,/team/466/boom-esports,13,5,8
6201,/99612/action-ph-vs-south-built-esports-champions-tour-philippines-stage-2-challengers-week-1,Fracture,83839,55:25,Action PH,/team/5366/action-ph,8,7,1,South Built Esports,/team/4150/south-built-esports,13,8,5
6202,/99612/action-ph-vs-south-built-esports-champions-tour-philippines-stage-2-challengers-week-1,Icebox,83840,41:52,Action PH,/team/5366/action-ph,13,4,9,South Built Esports,/team/4150/south-built-esports,6,3,3
6203,/99612/action-ph-vs-south-built-esports-champions-tour-philippines-stage-2-challengers-week-1,Split,83841,58:00,Action PH,/team/5366/action-ph,13,5,8,South Built Esports,/team/4150/south-built-esports,10,4,6
6204,/89214/avium-esports-vs-todak-champions-tour-malaysia-singapore-stage-2-challengers-group-stage-d3,Haven,77849,43:42,Avium Esports,/team/8971/avium-esports,7,5,2,Todak,/team/879/todak,13,6,7
6205,/89214/avium-esports-vs-todak-champions-tour-malaysia-singapore-stage-2-challengers-group-stage-d3,Split,77850,40:08,Avium Esports,/team/8971/avium-esports,4,2,2,Todak,/team/879/todak,13,10,3
6206,/97418/fav-gaming-vs-blue-bees-esp-champions-tour-japan-stage-2-challengers-week-1-gf-a,Bind,82087,41:13,FAV gaming,/team/516/fav-gaming,13,5,8,BLUE BEES.ESP,/team/2108/blue-bees-esp,5,4,1
6207,/97418/fav-gaming-vs-blue-bees-esp-champions-tour-japan-stage-2-challengers-week-1-gf-a,Breeze,82088,48:49,FAV gaming,/team/516/fav-gaming,13,6,7,BLUE BEES.ESP,/team/2108/blue-bees-esp,9,3,6
6208,/99484/infinity-esports-vs-fusion-champions-tour-latin-america-north-stage-2-challengers-w1,Ascent,83617,38:27,INFINITY,/team/363/infinity,7,5,2,FUSION,/team/7269/fusion,13,6,7
6209,/99484/infinity-esports-vs-fusion-champions-tour-latin-america-north-stage-2-challengers-w1,Bind,83618,41:37,INFINITY,/team/363/infinity,8,3,5,FUSION,/team/7269/fusion,13,7,6
6210,/99687/luminosity-vs-sentinels-champions-tour-north-america-stage-2-challengers-w1,Bind,83942,58:33,Luminosity,/team/642/luminosity,13,6,7,Sentinels,/team/2/sentinels,11,5,6
6211,/99687/luminosity-vs-sentinels-champions-tour-north-america-stage-2-challengers-w1,Breeze,83943,1:05:55,Luminosity,/team/642/luminosity,14,4,8,Sentinels,/team/2/sentinels,16,4,8
6212,/99687/luminosity-vs-sentinels-champions-tour-north-america-stage-2-challengers-w1,Fracture,83944,38:29,Luminosity,/team/642/luminosity,13,8,5,Sentinels,/team/2/sentinels,4,0,4
6213,/99483/six-karma-vs-cruelty-champions-tour-latin-america-north-stage-2-challengers-w1,Breeze,83614,41:15,Six Karma,/team/4094/six-karma,13,4,9,Team Cruelty,/team/8691/team-cruelty,8,3,5
6214,/99483/six-karma-vs-cruelty-champions-tour-latin-america-north-stage-2-challengers-w1,Haven,83615,37:32,Six Karma,/team/4094/six-karma,13,8,5,Team Cruelty,/team/8691/team-cruelty,7,3,4
6215,/99686/the-guard-vs-100-thieves-champions-tour-north-america-stage-2-challengers-w1,Fracture,83939,40:22,The Guard,/team/6675/the-guard,5,3,2,100 Thieves,/team/120/100-thieves,13,10,3
6216,/99686/the-guard-vs-100-thieves-champions-tour-north-america-stage-2-challengers-w1,Bind,83940,45:11,The Guard,/team/6675/the-guard,6,6,0,100 Thieves,/team/120/100-thieves,13,7,6
6217,/99245/og-ldn-utd-vs-acend-champions-tour-stage-2-emea-challengers-group-stage-week-1,Icebox,83438,44:50,OG LDN UTD,/team/8903/og-ldn-utd,7,3,4,Acend,/team/3531/acend,13,8,5
6218,/99245/og-ldn-utd-vs-acend-champions-tour-stage-2-emea-challengers-group-stage-week-1,Split,83439,1:04:31,OG LDN UTD,/team/8903/og-ldn-utd,12,4,8,Acend,/team/3531/acend,14,4,8
6219,/99798/ronin-vs-team-big-baam-champions-tour-vietnam-stage-2-challengers-regular-season-week-1,Ascent,84147,59:19,Team Ronin,/team/8796/team-ronin,10,8,2,Team Big BAAM,/team/5931/team-big-baam,13,10,3
6220,/99798/ronin-vs-team-big-baam-champions-tour-vietnam-stage-2-challengers-regular-season-week-1,Icebox,84148,32:44,Team Ronin,/team/8796/team-ronin,3,1,2,Team Big BAAM,/team/5931/team-big-baam,13,2,11
6221,/99768/x10-crit-vs-full-sense-champions-tour-thailand-stage-2-challengers-week-1,Breeze,84063,40:54,X10 Esports,/team/2112/x10-esports,13,8,5,FULL SENSE,/team/4050/full-sense,6,2,4
6222,/99768/x10-crit-vs-full-sense-champions-tour-thailand-stage-2-challengers-week-1,Split,84064,44:19,X10 Esports,/team/2112/x10-esports,7,6,1,FULL SENSE,/team/4050/full-sense,13,7,6
6223,/99768/x10-crit-vs-full-sense-champions-tour-thailand-stage-2-challengers-week-1,Fracture,84065,36:53,X10 Esports,/team/2112/x10-esports,13,8,5,FULL SENSE,/team/4050/full-sense,5,1,4
6224,/99244/bbl-esports-vs-natus-vincere-champions-tour-stage-2-emea-challengers-group-stage-week-1,Ascent,83435,46:03,BBL Esports,/team/397/bbl-esports,6,3,3,Natus Vincere,/team/4915/natus-vincere,13,9,4
6225,/99244/bbl-esports-vs-natus-vincere-champions-tour-stage-2-emea-challengers-group-stage-week-1,Icebox,83436,1:17:36,BBL Esports,/team/397/bbl-esports,18,5,7,Natus Vincere,/team/4915/natus-vincere,16,5,7
6226,/99244/bbl-esports-vs-natus-vincere-champions-tour-stage-2-emea-challengers-group-stage-week-1,Fracture,83437,42:07,BBL Esports,/team/397/bbl-esports,13,10,3,Natus Vincere,/team/4915/natus-vincere,6,4,2
6227,/99517/traitors-vs-ghetto-artist-champions-tour-hong-kong-taiwan-stage-2-challengers-w1,Ascent,83674,43:19,TRAITORS,/team/3112/traitors,4,3,1,Ghetto Artist,/team/8928/ghetto-artist,13,4,9
6228,/99517/traitors-vs-ghetto-artist-champions-tour-hong-kong-taiwan-stage-2-challengers-w1,Haven,83675,32:39,TRAITORS,/team/3112/traitors,5,2,3,Ghetto Artist,/team/8928/ghetto-artist,13,9,4
6229,/98847/dewa-united-esports-vs-onic-g-champions-tour-indonesia-stage-2-challengers-r2,Split,82928,59:12,Dewa United Esports,/team/3437/dewa-united-esports,10,5,5,ONIC G,/team/2032/onic-g,13,6,7
6230,/98847/dewa-united-esports-vs-onic-g-champions-tour-indonesia-stage-2-challengers-r2,Ascent,82929,36:59,Dewa United Esports,/team/3437/dewa-united-esports,2,0,2,ONIC G,/team/2032/onic-g,13,10,3
6231,/99516/ivan-vs-k7-esports-champions-tour-hong-kong-taiwan-stage-2-challengers-w1,Breeze,83671,46:10,IVAN,/team/8932/ivan,13,6,7,K7 Esports,/team/8931/k7-esports,10,5,5
6232,/99516/ivan-vs-k7-esports-champions-tour-hong-kong-taiwan-stage-2-challengers-w1,Bind,83672,41:09,IVAN,/team/8932/ivan,13,3,10,K7 Esports,/team/8931/k7-esports,5,2,3
6233,/99767/sharper-esport-vs-made-in-thailand-champions-tour-thailand-stage-2-challengers-week-1,Split,84060,43:20,Sharper Esport,/team/623/sharper-esport,13,4,9,Made in Thailand,/team/4210/made-in-thailand,6,3,3
6234,/99767/sharper-esport-vs-made-in-thailand-champions-tour-thailand-stage-2-challengers-week-1,Icebox,84061,42:30,Sharper Esport,/team/623/sharper-esport,4,4,0,Made in Thailand,/team/4210/made-in-thailand,13,5,8
6235,/99767/sharper-esport-vs-made-in-thailand-champions-tour-thailand-stage-2-challengers-week-1,Bind,84062,57:04,Sharper Esport,/team/623/sharper-esport,13,8,5,Made in Thailand,/team/4210/made-in-thailand,11,7,4
6236,/99796/ubt-esports-vs-cerberus-esports-champions-tour-vietnam-stage-2-challengers-regular-season-week,Haven,84141,54:39,UBT Esports,/team/7063/ubt-esports,13,6,7,CERBERUS Esports,/team/4325/cerberus-esports,6,5,1
6237,/99796/ubt-esports-vs-cerberus-esports-champions-tour-vietnam-stage-2-challengers-regular-season-week,Breeze,84142,32:04,UBT Esports,/team/7063/ubt-esports,5,3,2,CERBERUS Esports,/team/4325/cerberus-esports,13,10,3
