,Match_URL,Tournament,Team_1,Score_1,Team_2,Score_2
87,/197722/bleed-vs-x10-esports-challengers-league-malaysia-singapore-split-2-gf,Challengers League Malaysia/Singapore: Split 2,BLEED,3,X10 Esports,0
88,/207173/jadeite-vs-scarz-challengers-league-japan-split-2-gf,Challengers League Japan: Split 2,Jadeite,2,SCARZ,3
89,/212533/faze-clan-vs-tsm-challengers-league-north-america-lr1,Challengers League: North America,FaZe Clan,2,TSM,1
90,/212532/shopify-rebellion-vs-g2-esports-challengers-league-north-america-lr1,Challengers League: North America,Shopify Rebellion,1,G2 Esports,2
91,/213488/00nation-vs-oddik-challengers-league-brazil-split-2-lf,Challengers League Brazil: Split 2,00Nation,2,ODDIK,1
92,/216234/fire-flux-esports-vs-digital-athletics-challengers-league-turkey-birlik-split-2-playoffs-lr1,Challengers League Turkey Birlik: Split 2,Fire Flux Esports,0,Digital Athletics,2
93,/220098/fokus-vs-les-petits-bouffons-challengers-league-northern-europe-polaris-split-2-playoffs-r3,Challengers League Northern Europe Polaris: Split 2,FOKUS,0,Les Petits Bouffons,2
94,/216233/papara-supermassive-vs-galakticos-challengers-league-turkey-birlik-split-2-playoffs-lr1,Challengers League Turkey Birlik: Split 2,Papara SuperMassive,0,Galakticos,2
95,/220097/apeks-vs-les-petits-bouffons-challengers-league-northern-europe-polaris-split-2-playoffs-r2,Challengers League Northern Europe Polaris: Split 2,Apeks,2,Les Petits Bouffons,0
96,/211907/orangutan-vs-true-rippers-challengers-league-south-asia-split-2-ubsf,Challengers League South Asia: Split 2,Orangutan,2,True Rippers,0
97,/220096/apeks-vs-fokus-challengers-league-northern-europe-polaris-split-2-playoffs-r1,Challengers League Northern Europe Polaris: Split 2,Apeks,2,FOKUS,0
98,/219751/tim-t-i-tr-vs-team-big-baam-challengers-league-vietnam-split-2-lr1,Challengers League Vietnam: Split 2,Tim Tài Trơ,2,Team Big BAAM,1
99,/213136/oblivion-force-vs-anti-eco-eco-club-challengers-league-taiwan-hong-kong-split-2-lf,Challengers League Taiwan/Hong Kong: Split 2,Oblivion Force,1,Anti Eco Eco Club,3
100,/219738/nerdpunt-vs-funcrew-challengers-league-oceania-split-2-regional-playoffs-ubsf,Challengers League Oceania: Split 2,NerdPunt,2,Funcrew,0
101,/181481/naos-vs-zol-esports-challengers-league-philippines-split-2-playoffs-lf,Challengers League Philippines: Split 2,NAOS,3,ZOL Esports,1
102,/209028/dplus-esports-vs-slt-seongnam-world-cyber-games-challengers-league-korea-split-2-gf,World Cyber Games Challengers League Korea: Split 2,Dplus Esports,3,SLT Seongnam,1
103,/214830/boom-esports-vs-alter-ego-challengers-league-indonesia-split-2-lf,Challengers League Indonesia: Split 2,BOOM Esports,3,Alter Ego,0
104,/207172/scarz-vs-fennel-challengers-league-japan-split-2-lf,Challengers League Japan: Split 2,SCARZ,3,FENNEL,1
105,/219749/lazy-vs-fancy-united-esports-challengers-league-vietnam-split-2-uf,Challengers League Vietnam: Split 2,LAZY,0,Fancy United Esports,2
106,/219737/bonkers-vs-the-who-challengers-league-oceania-split-2-regional-playoffs-ubsf,Challengers League Oceania: Split 2,Bonkers,2,The Who?,0
107,/197721/kizuna-esports-vs-x10-esports-challengers-league-malaysia-singapore-split-2-lf,Challengers League Malaysia/Singapore: Split 2,Kizuna Esports,0,X10 Esports,3
108,/212529/the-guard-vs-moist-moguls-challengers-league-north-america-ubsf,Challengers League: North America,The Guard,0,Moist Moguls,2
109,/213483/the-union-vs-00nation-challengers-league-brazil-split-2-uf,Challengers League Brazil: Split 2,The Union,2,00Nation,0
110,/212528/m80-vs-oxygen-esports-challengers-league-north-america-ubsf,Challengers League: North America,M80,2,Oxygen Esports,0
111,/213487/keyd-stars-vs-oddik-challengers-league-brazil-split-2-lr2,Challengers League Brazil: Split 2,Keyd Stars,1,ODDIK,2
112,/216230/s2g-esports-vs-papara-supermassive-challengers-league-turkey-birlik-split-2-playoffs-ubsf,Challengers League Turkey Birlik: Split 2,S2G Esports,2,Papara SuperMassive,1
113,/216229/fire-flux-esports-vs-galatasaray-esports-challengers-league-turkey-birlik-split-2-playoffs-ubsf,Challengers League Turkey Birlik: Split 2,Fire Flux Esports,1,Galatasaray Esports,2
114,/213123/full-sense-vs-xerxia-esports-challengers-league-thailand-split-2-uf,Challengers League Thailand: Split 2,FULL SENSE,2,XERXIA Esports,0
115,/213131/one-team-esports-vs-anti-eco-eco-club-challengers-league-taiwan-hong-kong-split-2-uf,Challengers League Taiwan/Hong Kong: Split 2,ONE Team Esports,2,Anti Eco Eco Club,1
116,/181480/zol-esports-vs-mvp-esports-challengers-league-philippines-split-2-playoffs-lr2,Challengers League Philippines: Split 2,ZOL Esports,2,MVP Esports,0
117,/211905/reckoning-esports-vs-gods-reign-challengers-league-south-asia-split-2-ur1,Challengers League South Asia: Split 2,Reckoning Esports,1,Gods Reign,2
118,/219736/funcrew-vs-koopa-troopas-challengers-league-oceania-split-2-regional-playoffs-ur1,Challengers League Oceania: Split 2,Funcrew,2,Koopa Troopas,0
119,/213125/made-in-thailand-vs-crit-esports-challengers-league-thailand-split-2-lr1,Challengers League Thailand: Split 2,Made in Thailand,2,CRIT Esports,0
120,/213135/oblivion-force-vs-utt-esports-challengers-league-taiwan-hong-kong-split-2-lr2,Challengers League Taiwan/Hong Kong: Split 2,Oblivion Force,2,UTT Esports,0
121,/214829/boom-esports-vs-dominatus-challengers-league-indonesia-split-2-uf,Challengers League Indonesia: Split 2,BOOM Esports,0,Dominatus,2
122,/219748/fancy-united-esports-vs-team-big-baam-challengers-league-vietnam-split-2-ubsf,Challengers League Vietnam: Split 2,Fancy United Esports,2,Team Big BAAM,0
123,/219735/the-who-vs-xyz-challengers-league-oceania-split-2-regional-playoffs-ur1,Challengers League Oceania: Split 2,The Who?,0,xyz,0
124,/181479/oasis-gaming-vs-naos-challengers-league-philippines-split-2-playoffs-uf,Challengers League Philippines: Split 2,Oasis Gaming,2,NAOS,1
125,/214828/bigetron-arctic-vs-alter-ego-challengers-league-indonesia-split-2-lr2,Challengers League Indonesia: Split 2,Bigetron Arctic,0,Alter Ego,2
126,/219747/tim-t-i-tr-vs-lazy-challengers-league-vietnam-split-2-ubsf,Challengers League Vietnam: Split 2,Tim Tài Trơ,1,LAZY,2
127,/213486/oddik-vs-liberty-challengers-league-brazil-split-2-lr1,Challengers League Brazil: Split 2,ODDIK,2,Liberty,1
128,/212527/moist-moguls-vs-tsm-challengers-league-north-america-ubqf,Challengers League: North America,Moist Moguls,2,TSM,0
129,/212526/the-guard-vs-faze-clan-challengers-league-north-america-ubqf,Challengers League: North America,The Guard,2,FaZe Clan,0
130,/213485/keyd-stars-vs-tbk-esports-challengers-league-brazil-split-2-lr1,Challengers League Brazil: Split 2,Keyd Stars,2,TBK Esports,1
131,/216228/papara-supermassive-vs-digital-athletics-challengers-league-turkey-birlik-split-2-playoffs-ur1,Challengers League Turkey Birlik: Split 2,Papara SuperMassive,2,Digital Athletics,1
132,/216227/galakticos-vs-galatasaray-esports-challengers-league-turkey-birlik-split-2-playoffs-ur1,Challengers League Turkey Birlik: Split 2,Galakticos,1,Galatasaray Esports,2
133,/213122/xerxia-esports-vs-crit-esports-challengers-league-thailand-split-2-ubsf,Challengers League Thailand: Split 2,XERXIA Esports,2,CRIT Esports,0
134,/211904/true-rippers-vs-revenant-esports-challengers-league-south-asia-split-2-ur1,Challengers League South Asia: Split 2,True Rippers,2,Revenant Esports,1
135,/213121/made-in-thailand-vs-full-sense-challengers-league-thailand-split-2-ubsf,Challengers League Thailand: Split 2,Made in Thailand,0,FULL SENSE,2
136,/214826/bigetron-arctic-vs-le-crapaud-challengers-league-indonesia-split-2-lr1,Challengers League Indonesia: Split 2,Bigetron Arctic,2,Le Crapaud,0
137,/214827/alter-ego-vs-arf-team-challengers-league-indonesia-split-2-lr1,Challengers League Indonesia: Split 2,Alter Ego,2,ARF TEAM,0
138,/214824/bigetron-arctic-vs-dominatus-challengers-league-indonesia-split-2-ubsf,Challengers League Indonesia: Split 2,Bigetron Arctic,1,Dominatus,2
139,/212525/oxygen-esports-vs-g2-esports-challengers-league-north-america-ubqf,Challengers League: North America,Oxygen Esports,2,G2 Esports,0
140,/213482/keyd-stars-vs-00nation-challengers-league-brazil-split-2-ubsf,Challengers League Brazil: Split 2,Keyd Stars,0,00Nation,2
141,/212524/m80-vs-shopify-rebellion-challengers-league-north-america-ubqf,Challengers League: North America,M80,2,Shopify Rebellion,0
142,/213481/the-union-vs-oddik-challengers-league-brazil-split-2-ubsf,Challengers League Brazil: Split 2,The Union,2,ODDIK,0
143,/214823/boom-esports-vs-alter-ego-challengers-league-indonesia-split-2-ubsf,Challengers League Indonesia: Split 2,BOOM Esports,2,Alter Ego,0
